student_id,topic_id,quiz_score,time_spent_minutes,error_count,attempts,days_since_activity
3,124,77.4,36.7,1,2,6
3,109,69.7,35.1,1,3,45
3,101,80.8,40.2,1,2,82
3,129,83.9,27.3,1,2,1
3,116,77.4,39.1,1,2,12
3,117,77.0,17.1,1,1,8
3,115,73.5,21.5,0,1,8
3,119,84.2,21.0,1,2,0
3,118,87.1,38.1,0,2,5
3,103,94.7,26.3,1,1,6
3,114,92.6,31.0,1,3,23
3,125,94.1,31.7,0,1,0
3,122,65.9,40.7,1,2,25
3,120,72.9,19.8,0,1,28
3,105,77.7,33.6,0,2,13
3,110,86.0,38.5,1,2,21
4,111,51.4,8.6,2,1,29
4,125,60.5,9.1,1,1,10
4,104,49.0,10.1,1,2,17
4,126,67.3,12.8,1,1,29
4,109,40.9,4.2,1,1,55
4,129,67.4,2.7,1,1,1
4,122,55.2,6.1,1,1,0
4,110,40.4,9.6,1,1,12
4,102,70.2,5.6,1,1,0
4,113,84.3,6.7,1,1,19
4,121,70.6,6.4,2,1,3
4,120,30.2,12.8,2,2,19
4,106,59.7,7.1,1,1,0
4,127,71.3,3.5,2,1,51
4,100,59.3,7.6,0,1,8
4,118,58.5,13.5,2,1,7
4,101,72.2,9.0,1,1,7
4,115,59.5,2.9,1,1,23
4,108,62.9,2.9,1,1,27
4,103,28.1,10.4,1,1,3
4,117,75.7,9.0,2,2,4
5,112,61.2,11.3,1,1,4
5,113,78.7,5.1,1,1,11
5,114,73.1,8.0,1,1,0
5,115,61.1,4.4,1,1,36
5,129,49.7,7.7,0,1,46
5,124,51.1,12.4,1,1,0
5,125,48.3,9.3,1,1,13
5,110,67.9,8.5,1,1,3
5,105,32.5,11.0,1,1,99
5,111,65.4,10.8,2,2,82
5,119,51.5,8.0,1,1,15
5,118,89.0,11.4,1,1,49
5,106,70.2,11.7,1,1,4
5,104,68.8,2.6,1,1,66
5,102,87.5,13.2,2,2,22
5,126,64.2,8.6,1,1,2
5,117,45.8,7.8,2,1,3
5,123,64.2,8.7,1,1,8
5,108,61.9,5.8,1,1,4
5,109,39.0,7.6,1,1,4
5,122,64.5,5.5,1,1,23
6,110,59.1,7.0,1,1,149
6,125,59.8,6.9,0,1,30
6,103,55.5,14.2,0,2,29
6,113,78.4,7.1,0,1,14
6,105,50.1,25.0,1,2,39
6,101,55.5,27.3,1,1,17
6,121,100.0,21.0,1,1,69
6,107,47.7,21.4,1,1,4
6,124,60.0,18.0,1,1,10
6,126,33.4,14.6,0,1,1
6,100,34.9,12.2,1,1,0
6,122,39.9,20.1,0,1,12
6,115,54.8,13.5,1,1,4
6,127,69.2,7.2,0,1,3
7,110,99.5,14.1,0,2,7
7,125,81.1,12.5,0,1,4
7,112,86.6,13.7,0,1,0
7,118,91.6,16.7,1,2,11
7,123,78.8,11.6,1,2,50
7,116,95.1,14.0,1,2,7
7,119,90.7,1.0,0,1,24
7,103,91.6,13.9,0,1,3
7,128,84.1,21.0,0,1,14
7,124,89.0,8.0,0,1,86
7,107,82.1,15.7,0,1,10
7,114,89.8,14.5,0,1,17
7,108,84.7,6.3,0,1,17
7,111,89.8,14.9,0,1,14
7,127,90.6,10.8,0,1,10
7,120,100.0,17.3,0,1,3
7,106,89.0,12.5,0,2,4
7,126,84.7,14.5,0,1,15
7,113,85.0,15.0,0,1,4
7,117,84.0,5.4,0,1,0
7,104,85.8,10.7,0,1,32
7,102,91.3,14.5,0,1,19
7,109,88.3,12.0,1,2,22
7,129,84.0,13.9,0,1,35
7,115,83.5,15.2,0,1,13
7,105,93.6,12.4,0,1,44
7,101,92.3,8.2,0,1,12
7,121,88.9,21.8,0,1,36
7,100,91.3,12.5,0,1,5
7,122,84.3,16.5,0,1,9
8,126,48.1,18.1,2,2,37
8,115,91.6,22.9,3,2,17
8,127,72.3,24.0,1,2,8
8,118,32.9,10.1,4,3,27
8,116,54.6,6.5,1,1,60
8,109,82.7,14.4,1,2,0
8,101,60.1,10.5,1,1,18
8,117,95.4,17.0,0,1,24
8,121,54.7,11.1,2,3,27
8,125,61.2,18.4,2,2,32
8,103,13.6,1.0,1,1,4
8,110,69.5,14.2,3,2,22
8,104,79.3,20.7,1,1,13
8,111,60.0,32.7,0,1,3
8,119,52.7,15.5,0,1,17
8,107,100.0,36.0,1,1,8
8,102,21.8,16.8,1,1,43
8,100,44.8,19.5,2,2,5
8,108,77.1,10.0,2,2,10
8,106,53.7,21.7,2,2,18
8,128,80.2,15.4,4,2,14
8,114,35.4,8.7,1,3,3
9,129,10.2,17.0,0,1,1
9,114,57.9,27.6,5,3,27
9,107,50.7,23.4,5,3,15
9,110,28.5,18.5,3,2,26
9,104,42.3,32.6,6,3,5
9,109,30.0,41.5,4,2,36
9,126,37.1,13.5,1,2,28
9,128,60.2,21.6,3,3,25
9,108,51.3,27.7,5,4,26
9,103,43.2,34.4,3,2,7
9,101,32.0,33.3,5,3,3
9,102,59.4,25.0,3,3,0
9,120,34.8,41.0,4,3,26
10,121,88.4,3.7,0,1,24
10,106,68.2,8.0,0,2,11
10,115,78.6,15.2,0,1,17
10,107,100.0,11.2,0,1,28
10,120,81.9,9.8,0,1,0
10,116,95.7,13.2,0,1,11
10,108,73.0,7.7,1,2,16
10,103,100.0,13.9,1,1,33
10,119,81.6,13.7,0,1,2
10,122,82.1,15.7,0,1,54
10,100,77.7,13.4,1,2,7
10,109,83.9,10.4,0,1,2
10,127,74.1,15.4,0,1,14
10,101,98.6,17.0,0,2,49
10,123,87.8,13.5,0,1,33
10,110,99.8,16.9,0,1,37
10,114,74.0,12.4,0,2,28
10,124,80.7,9.3,0,2,3
11,110,76.2,55.1,1,1,13
11,128,72.3,55.1,1,2,7
11,118,78.0,33.1,1,2,35
11,101,71.8,42.4,1,2,1
11,120,77.6,26.6,0,1,11
11,122,79.2,31.0,0,1,17
11,124,74.0,38.2,1,1,55
11,121,82.6,55.9,1,3,35
11,114,77.1,39.6,1,2,17
11,107,79.0,55.7,1,2,38
11,106,88.7,28.5,0,1,19
11,129,80.4,23.4,0,1,36
11,104,81.0,45.1,0,2,73
11,108,78.5,53.9,0,1,5
11,115,84.0,40.1,1,2,25
11,116,72.7,42.9,0,1,1
12,119,37.7,20.0,0,1,10
12,124,74.9,17.3,1,1,12
12,115,54.4,29.0,1,1,24
12,103,68.4,1.0,1,1,14
12,121,74.7,12.8,0,1,94
12,109,51.5,13.7,1,1,3
13,118,55.3,1.0,1,1,9
13,116,28.7,10.8,1,1,14
13,117,47.4,10.7,3,2,7
13,121,52.2,19.4,0,1,10
13,115,47.3,6.4,3,2,66
13,109,60.5,15.8,2,2,26
13,110,34.8,18.3,0,2,0
13,107,83.8,16.5,1,2,17
13,105,27.6,1.0,1,2,12
13,120,32.3,3.9,1,1,32
13,106,69.1,21.2,4,2,20
13,112,58.9,29.3,0,2,7
13,111,87.2,23.1,2,2,61
13,119,65.8,15.5,2,2,26
13,123,70.6,47.1,1,1,1
13,125,71.5,18.5,3,2,15
13,108,91.8,21.8,0,2,16
13,102,62.9,17.8,3,2,37
14,106,57.9,36.0,1,2,1
14,104,60.0,20.8,1,1,16
14,107,62.7,22.5,0,1,3
14,119,67.3,10.7,0,1,33
14,111,49.2,30.3,1,1,22
14,114,65.0,16.6,1,2,11
14,124,56.9,4.2,0,1,4
14,100,50.7,41.7,1,1,89
14,115,50.1,19.4,1,1,11
14,123,50.9,20.6,2,2,65
14,102,14.5,24.4,1,2,48
14,129,48.3,12.7,0,2,3
14,101,32.0,11.4,5,3,1
14,121,41.2,12.7,2,2,13
14,110,59.4,15.9,1,1,7
14,109,32.6,16.1,1,1,14
14,116,89.5,23.1,1,1,37
14,113,48.5,21.1,1,1,60
14,118,47.6,11.4,1,1,12
14,105,94.2,40.7,1,1,12
14,108,44.4,11.7,0,1,4
14,122,35.7,26.4,2,1,12
14,126,53.8,13.5,0,2,19
14,128,82.4,21.0,1,1,17
14,112,89.2,26.1,0,2,119
15,102,60.8,27.6,0,1,16
15,115,59.9,19.7,1,1,34
15,114,69.7,15.4,1,1,13
15,121,72.9,9.2,3,2,62
15,101,42.5,15.7,2,2,10
15,117,68.3,23.8,2,2,5
15,104,89.6,9.0,1,1,1
15,122,30.1,4.9,1,1,18
15,100,52.3,24.6,1,1,4
15,129,73.4,22.8,1,1,30
15,123,67.9,4.0,1,2,0
15,113,80.5,20.9,2,2,10
15,106,52.6,20.4,1,2,9
15,110,36.1,7.4,1,1,19
15,126,88.5,1.7,3,2,8
15,103,62.0,1.0,1,2,2
15,105,28.8,23.4,1,2,51
15,127,16.9,15.3,0,1,15
15,125,51.0,7.2,1,1,6
15,119,57.4,24.2,1,1,45
15,108,50.6,22.4,1,1,2
15,109,1.7,29.9,1,1,5
15,128,53.7,3.3,1,1,44
15,111,82.6,17.4,1,1,10
16,116,64.3,7.8,1,2,55
16,112,48.3,19.6,1,1,2
16,122,45.3,22.9,2,2,11
16,123,75.9,15.6,1,1,23
16,104,33.2,25.7,1,1,15
16,126,69.8,19.7,1,1,7
16,110,44.3,15.1,1,2,21
16,129,32.8,21.9,2,2,34
16,114,61.8,21.9,2,2,13
16,118,100.0,13.5,1,1,8
16,105,31.9,29.2,1,2,6
16,108,72.5,5.4,4,3,5
16,107,63.2,17.7,1,1,32
16,117,60.3,10.1,2,2,25
16,127,30.6,23.7,1,1,53
16,106,86.2,13.1,1,2,13
16,101,74.7,13.4,1,2,3
16,113,78.5,24.6,1,3,5
16,128,40.1,24.6,2,2,10
16,115,75.3,5.8,5,2,40
16,125,61.1,23.8,0,1,9
16,119,38.1,3.5,3,3,12
16,120,53.8,16.3,2,2,5
16,103,56.1,14.6,0,1,7
16,111,61.1,5.1,2,2,18
17,129,93.9,37.3,0,1,2
17,100,77.5,30.4,1,3,7
17,111,81.9,38.5,1,2,2
17,108,84.4,32.7,1,2,6
17,109,87.0,40.0,0,2,5
17,120,79.7,36.7,1,3,15
17,107,89.6,35.9,1,3,150
17,114,76.8,37.2,1,2,13
17,116,79.1,32.0,1,3,19
17,112,73.8,26.5,1,2,3
17,128,79.4,41.6,0,1,32
17,115,85.4,38.0,0,1,37
17,101,75.3,26.5,1,2,20
17,126,91.2,60.3,0,1,25
17,105,72.3,25.3,0,2,20
17,127,80.5,39.3,1,2,10
17,121,99.1,37.1,0,1,36
17,123,80.2,33.9,1,2,4
17,103,86.5,26.6,0,1,15
17,125,63.3,33.4,1,2,15
18,101,89.9,12.6,1,1,4
18,115,91.9,7.7,0,1,3
18,112,79.6,11.8,0,1,12
18,104,97.8,8.8,0,1,6
18,103,83.0,5.7,0,1,43
18,124,79.7,11.7,0,1,10
18,110,78.5,13.3,0,1,64
18,120,69.0,8.9,0,1,6
18,114,94.3,14.4,0,1,42
18,111,91.3,7.6,0,1,15
18,122,63.5,6.9,0,2,24
18,102,97.9,12.1,1,2,24
18,127,90.9,14.8,1,2,3
18,107,91.6,16.6,0,2,43
18,113,95.4,22.3,0,1,0
18,118,84.1,8.4,0,1,1
18,123,84.1,19.7,0,1,0
18,117,94.6,13.1,0,2,25
18,128,90.9,10.8,1,1,15
18,129,91.4,17.0,0,2,19
18,116,92.1,3.1,1,2,44
18,108,80.8,5.8,0,1,2
18,100,88.7,23.1,1,2,4
18,106,99.8,11.2,0,1,12
19,111,64.8,19.4,1,1,26
19,105,22.2,16.1,1,1,39
19,126,78.5,8.0,1,1,12
19,122,77.2,22.8,0,1,21
19,107,38.5,13.3,1,1,14
20,121,55.4,3.2,1,1,20
20,117,36.5,10.1,1,1,37
20,102,47.8,6.7,1,1,20
20,101,57.8,10.9,1,1,52
20,123,72.1,5.4,1,1,8
20,107,30.8,6.4,2,1,7
20,126,43.8,11.3,2,2,4
20,129,72.6,1.0,1,1,22
20,128,57.9,8.3,2,1,41
21,112,87.4,30.2,1,2,14
21,114,76.3,35.8,1,2,5
21,129,62.8,23.7,0,1,6
21,123,73.7,28.0,1,2,7
21,116,80.1,30.9,1,2,63
21,105,71.8,35.3,0,1,41
21,128,77.5,51.3,0,1,18
21,110,79.1,34.0,1,2,22
21,104,80.0,42.3,0,1,14
21,106,89.8,54.9,0,2,4
21,119,91.1,40.0,1,2,0
21,102,91.0,43.3,1,3,12
21,126,77.2,29.6,1,3,55
21,100,74.7,35.1,1,3,18
21,117,78.1,51.0,0,2,1
21,113,86.1,34.4,1,2,2
21,115,90.3,39.9,1,2,28
21,122,89.4,27.2,0,1,33
21,124,84.3,38.7,1,2,36
21,125,75.6,32.2,0,3,24
21,127,64.9,34.0,0,2,51
21,108,76.6,16.1,1,2,34
21,101,83.2,35.4,1,2,10
22,117,68.8,9.4,1,1,45
22,127,68.3,9.9,2,1,8
22,109,74.0,3.2,1,1,3
22,105,37.2,11.1,2,1,28
22,102,66.9,11.5,1,1,25
22,125,75.6,4.0,1,1,12
22,116,58.5,2.4,1,1,27
22,114,53.2,13.0,1,1,7
22,106,67.0,6.3,2,1,14
22,101,52.6,7.9,1,1,17
22,115,64.1,11.4,1,1,34
22,113,73.3,6.2,1,1,13
22,118,50.6,12.3,2,1,14
22,111,68.1,15.2,0,1,6
22,120,52.4,7.9,1,1,17
22,124,61.5,9.3,1,1,4
22,123,44.0,6.7,1,1,44
23,111,33.7,16.1,2,3,2
23,101,57.4,12.7,1,1,39
23,106,37.6,39.2,5,3,28
23,122,46.7,21.1,3,3,1
23,100,56.2,29.7,3,2,9
23,127,41.4,33.7,2,2,8
23,115,42.8,28.9,5,3,8
23,121,44.1,38.3,1,1,55
23,105,37.6,20.8,4,2,8
23,112,28.0,17.6,5,4,30
23,125,37.2,20.4,5,2,3
23,107,31.8,33.2,1,2,2
23,116,55.9,36.4,3,2,0
23,114,37.3,15.0,4,2,53
23,103,49.7,30.7,5,3,42
24,122,46.9,10.1,2,1,16
24,126,66.5,21.8,1,2,28
25,127,57.8,10.1,1,1,40
25,125,48.5,23.6,1,1,4
25,100,54.8,27.7,1,2,94
25,123,62.2,35.3,1,1,21
25,115,48.6,11.7,1,1,17
25,105,60.1,12.6,1,1,1
25,107,76.9,2.6,3,2,4
25,118,60.2,16.8,6,3,18
25,103,100.0,8.8,3,2,27
25,117,69.9,16.9,2,2,8
25,120,81.9,23.8,1,2,65
25,112,48.6,11.8,3,2,1
25,126,88.6,31.7,1,2,37
25,106,62.5,14.6,0,1,14
25,109,44.3,48.6,0,1,0
25,110,90.6,18.6,0,2,8
25,128,38.5,1.0,0,2,10
26,100,80.7,27.2,1,2,10
26,122,89.2,30.2,1,2,38
26,114,80.2,24.2,1,2,29
26,127,80.0,14.9,1,2,14
26,110,96.5,25.8,0,2,3
26,129,68.5,29.2,1,1,5
26,125,82.5,22.8,0,2,20
26,101,90.6,44.5,0,1,22
26,117,92.8,31.4,1,1,0
26,102,80.2,32.4,1,2,7
26,123,83.8,41.5,0,2,1
26,126,77.3,12.4,0,1,17
26,109,81.0,36.7,0,3,30
26,105,82.7,28.4,0,2,15
26,107,79.7,44.3,1,2,27
26,120,81.1,37.9,0,1,14
26,106,100.0,34.2,1,3,27
26,103,68.1,31.0,1,2,16
26,115,92.5,40.8,1,3,25
26,124,75.6,28.1,1,1,3
26,104,77.0,46.2,1,2,79
27,102,69.6,5.7,1,1,5
27,104,52.2,8.8,1,1,10
27,106,69.0,11.3,1,1,30
27,128,52.3,7.8,1,1,2
27,129,57.1,8.6,1,1,0
27,101,76.4,12.3,1,1,17
27,119,62.9,6.6,1,1,15
27,123,54.6,7.1,1,1,60
27,107,66.4,7.1,1,1,9
27,105,93.1,5.5,1,1,22
27,109,74.8,11.8,1,1,67
27,116,46.4,11.1,1,1,2
27,120,56.7,6.6,1,1,13
27,125,66.2,10.9,1,1,3
27,121,53.0,13.5,2,1,63
27,126,92.2,9.8,1,1,48
27,113,78.7,7.8,1,1,10
27,100,45.9,5.6,1,1,47
27,122,74.9,8.9,1,1,1
27,110,52.5,4.3,1,1,20
28,102,76.7,16.9,3,3,0
28,109,57.3,11.9,2,1,15
28,112,30.9,11.0,2,2,18
28,113,73.5,11.6,1,2,14
28,119,41.6,6.1,3,2,8
28,127,60.8,25.8,1,1,1
28,104,72.5,21.8,0,1,27
28,106,71.3,24.9,0,1,3
28,126,52.9,4.4,0,1,2
28,129,36.4,16.8,0,2,30
28,118,80.5,13.8,2,1,7
28,117,82.1,22.3,1,1,2
28,101,80.4,12.5,2,2,3
28,116,39.5,28.2,0,2,22
28,115,100.0,28.0,3,3,24
28,122,23.1,20.6,0,1,11
28,125,72.3,3.5,2,1,1
28,100,77.4,13.2,3,2,11
28,103,78.2,6.5,1,2,16
28,110,65.2,22.9,1,2,28
28,114,77.4,19.9,2,2,21
28,120,79.3,14.3,1,2,14
28,105,42.5,14.6,1,2,12
29,109,85.0,29.8,1,2,22
29,120,76.0,36.4,1,2,21
29,100,88.8,62.8,1,2,7
29,116,70.9,31.0,1,2,12
29,128,81.2,44.8,1,2,31
29,111,90.2,42.0,0,1,2
29,123,87.0,43.2,1,2,22
29,122,73.9,32.6,1,2,11
29,102,76.4,35.5,1,2,1
29,118,70.3,20.3,1,2,8
29,119,87.0,21.8,1,2,0
29,101,84.9,26.7,1,2,49
29,107,72.7,31.9,0,1,7
29,125,70.8,36.5,0,2,6
29,129,71.6,39.4,0,1,24
29,104,82.7,36.1,0,2,36
29,105,74.7,34.9,0,1,34
29,121,71.3,32.5,1,2,32
29,106,74.0,34.3,1,2,23
29,117,66.1,30.4,0,1,39
29,114,70.6,40.3,0,2,31
29,103,63.3,30.6,1,2,12
29,126,89.5,21.4,0,1,4
29,113,76.7,50.0,1,2,44
29,112,61.8,36.2,0,2,42
29,124,81.0,43.5,1,2,0
29,127,79.0,44.6,1,1,44
29,115,83.4,39.7,2,3,48
29,110,92.6,31.9,0,2,3
29,108,74.1,35.9,1,2,1
30,107,44.7,9.5,3,2,44
30,114,83.9,10.8,1,1,3
30,127,71.7,4.1,0,1,51
30,103,79.9,8.1,1,1,20
30,121,82.3,10.6,1,1,16
30,109,65.3,7.3,1,1,23
30,115,67.4,12.3,1,1,0
30,125,60.8,9.8,2,1,21
30,104,47.3,8.5,2,2,17
30,102,71.6,4.9,1,1,4
30,126,79.1,9.1,1,1,3
30,122,64.2,10.0,1,1,2
30,111,41.8,5.2,2,2,5
30,105,42.4,7.7,2,2,21
30,100,68.9,9.4,1,1,4
30,106,76.1,5.6,1,1,44
30,110,69.7,7.2,2,1,6
30,112,72.0,5.8,1,1,6
30,119,77.0,7.2,1,1,28
30,118,52.4,10.2,1,1,5
30,101,83.3,13.0,1,1,10
30,123,75.9,10.2,1,1,17
31,129,98.9,6.7,0,1,13
31,112,77.6,15.3,2,1,2
31,109,75.3,3.1,3,2,39
31,100,73.0,5.7,1,1,23
31,127,65.9,2.4,1,1,1
31,114,68.9,7.2,1,1,9
31,125,78.7,7.8,2,2,38
31,102,81.2,9.9,1,1,5
31,118,62.2,7.5,1,1,33
31,115,67.3,4.0,2,1,11
31,104,54.9,7.2,2,1,2
31,111,83.1,8.2,2,2,3
31,108,74.1,9.9,1,1,3
31,105,51.3,8.0,1,1,8
31,113,68.4,7.5,1,1,13
31,120,39.7,8.4,1,1,6
31,119,36.9,3.9,1,2,0
31,124,54.4,8.2,1,1,16
31,107,57.7,4.8,1,1,46
31,103,100.0,12.1,1,1,50
31,121,45.5,11.8,1,1,6
32,117,40.3,25.8,5,3,7
32,104,43.0,21.7,3,2,0
32,112,47.5,30.2,3,2,8
32,124,52.9,27.2,6,4,25
32,103,45.4,30.0,3,2,146
32,120,37.5,28.6,2,2,17
32,101,33.9,24.2,1,1,30
32,100,49.6,50.4,1,2,12
32,109,33.3,38.4,2,2,12
32,122,51.1,26.2,3,2,34
33,121,88.3,19.1,0,1,47
33,102,85.0,14.9,0,1,30
33,105,79.6,15.4,0,1,21
33,117,86.2,13.2,0,2,15
33,124,89.3,11.6,0,1,21
33,128,83.8,11.0,0,2,12
33,119,89.5,18.2,0,1,31
33,109,87.5,11.2,0,1,5
33,113,89.8,12.9,0,1,24
33,129,86.6,8.9,1,2,16
33,118,86.9,10.7,0,1,22
33,100,90.4,19.4,0,1,16
33,115,100.0,15.5,0,1,16
33,116,77.2,10.6,0,1,8
33,111,88.1,10.4,0,1,55
33,104,78.5,18.6,0,1,32
33,103,100.0,13.3,0,1,11
33,127,84.1,7.2,0,1,14
33,112,90.6,6.8,0,1,13
33,125,90.6,16.9,0,1,6
33,108,84.7,11.0,0,1,21
33,106,69.3,7.8,0,1,42
33,123,90.6,14.6,0,1,0
33,107,75.1,21.8,0,1,20
33,110,76.0,17.4,0,2,3
33,101,70.1,11.0,0,1,6
33,120,91.2,13.3,0,1,34
33,126,88.1,15.6,0,2,21
34,114,79.5,34.6,1,1,11
34,110,76.3,35.2,0,1,47
34,115,74.3,27.5,1,2,10
34,125,75.9,32.8,0,1,21
34,128,74.4,25.7,0,1,9
34,112,95.3,29.0,1,2,18
34,108,86.7,42.0,1,2,19
34,116,67.7,27.7,0,1,18
34,120,90.8,26.8,0,2,14
34,126,73.8,40.4,1,1,81
34,129,74.2,23.7,1,2,11
34,113,100.0,47.9,1,2,41
34,104,72.5,45.5,1,2,14
34,111,95.5,36.5,1,2,50
34,122,77.1,35.0,1,2,29
34,118,66.1,27.0,0,1,6
34,105,78.5,36.8,0,1,90
34,121,85.4,28.5,2,2,51
34,124,73.8,33.4,1,2,7
34,117,67.0,26.3,1,2,17
35,125,49.2,21.1,2,2,0
35,107,58.7,22.4,0,1,10
35,109,61.2,9.2,1,1,12
35,100,51.7,13.9,1,1,91
35,112,42.6,1.0,1,1,15
35,128,71.6,21.0,1,1,26
35,111,54.7,9.3,1,1,50
35,101,89.1,15.4,0,1,0
36,109,81.5,9.6,1,2,16
36,115,82.1,9.4,0,1,23
36,105,94.0,11.6,0,2,15
36,119,80.2,16.1,0,1,22
36,122,79.6,9.6,1,2,1
36,123,90.4,11.4,1,3,22
36,113,99.4,4.6,1,1,7
36,127,74.1,10.4,1,2,9
36,107,82.5,9.8,0,1,0
36,118,91.6,6.7,0,1,99
36,121,86.2,13.2,0,1,6
36,116,92.0,16.2,0,1,24
36,102,79.4,10.0,0,1,27
36,110,81.7,16.8,0,1,15
36,124,87.8,13.5,0,1,16
36,106,100.0,16.0,1,2,2
36,128,98.2,8.6,0,1,19
36,104,90.5,8.8,0,1,1
36,112,88.1,15.6,0,2,39
37,100,63.1,37.9,0,1,2
37,105,61.0,28.7,1,1,0
37,117,65.6,8.3,3,2,2
37,106,58.1,16.6,1,1,2
37,129,42.3,7.7,1,1,41
37,118,58.2,18.5,1,1,18
37,121,48.5,18.4,0,1,12
37,107,28.9,22.8,1,2,23
37,112,71.8,11.7,1,2,2
37,119,43.0,17.4,1,2,1
38,115,51.8,34.9,1,1,68
38,104,68.3,13.6,0,1,4
38,123,61.5,22.5,1,1,28
38,118,56.2,13.6,1,2,27
38,106,60.2,18.0,4,2,1
38,116,12.4,21.3,2,2,0
38,114,59.4,17.5,1,2,48
38,129,100.0,10.8,0,2,0
38,103,41.3,13.6,2,2,2
38,119,24.6,36.4,2,1,13
38,127,71.5,9.5,1,2,31
38,108,55.0,1.0,2,2,20
38,100,48.8,21.6,0,1,25
39,100,40.4,33.9,1,1,6
39,111,63.3,35.0,1,1,56
39,117,36.3,17.4,6,4,19
39,104,33.7,33.8,2,2,6
39,127,44.2,38.2,2,2,12
39,106,45.0,28.5,2,2,22
39,112,41.4,24.3,4,2,68
39,123,57.2,23.7,4,3,11
39,102,59.1,26.9,3,3,11
39,109,31.6,37.9,5,3,19
39,110,55.9,34.1,1,1,6
39,119,50.7,29.4,1,1,23
39,107,41.4,14.8,5,3,24
39,118,52.2,24.6,2,3,4
39,103,46.0,10.7,2,2,5
39,116,29.1,31.4,4,2,6
39,128,32.8,26.0,2,1,2
39,105,71.6,23.0,2,2,0
40,108,74.2,50.2,0,1,2
40,126,95.8,26.9,0,1,3
40,114,67.6,30.7,0,1,18
40,111,66.6,44.8,1,1,12
40,122,94.4,41.7,0,1,18
40,104,77.6,33.5,0,2,10
40,107,88.6,42.3,1,2,3
40,100,70.5,37.9,1,2,3
40,101,69.3,32.9,0,2,8
40,112,88.2,37.6,0,3,0
40,110,83.3,26.8,0,2,8
40,123,89.5,37.5,0,1,29
40,113,80.2,10.8,1,2,4
40,120,89.0,28.9,0,1,5
40,128,94.6,38.2,1,2,16
40,124,85.8,28.4,1,2,25
40,121,81.1,7.3,1,2,11
40,102,71.9,39.0,1,2,16
40,115,83.9,44.4,0,2,7
40,127,75.7,41.8,1,2,7
40,103,91.6,32.3,1,2,11
40,106,64.6,30.9,1,2,0
40,118,86.8,42.8,1,2,4
40,116,97.0,41.7,1,2,15
40,125,79.0,36.7,1,1,31
41,123,78.4,1.0,0,1,12
41,100,100.0,9.5,0,2,23
41,115,81.3,11.8,0,1,8
41,112,80.4,16.0,0,1,13
41,117,87.3,8.5,0,1,47
41,129,75.0,10.6,0,1,38
41,116,94.4,19.4,0,1,29
41,118,92.5,12.6,0,1,0
41,124,94.4,8.2,0,1,5
41,104,83.0,9.5,0,1,26
41,108,76.0,11.2,0,1,100
41,122,90.1,9.0,0,1,26
41,126,87.2,16.3,0,1,24
41,105,73.5,13.1,0,1,15
41,106,85.2,8.8,0,1,15
41,113,96.9,8.5,0,1,7
41,125,85.1,13.1,0,1,24
41,111,87.6,10.6,0,1,6
41,103,79.5,13.3,0,1,11
41,114,100.0,3.0,0,1,2
41,109,95.2,15.3,0,1,3
41,101,87.2,11.7,0,1,27
41,107,78.2,7.8,0,1,26
41,119,92.0,6.3,0,2,18
